# Incoming morph	analyses	stem part	continuations...	#<- HEADERS
V_BACK_TUPCP_STRONG	Vpss|Cnut|Nsg	{MB}tu	#
V_BACK_TUPCP_STRONG	Vpss|Tpast|Ppe4|Ncon	{MB}tu	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_WEAK_PAST			V_WEAK_PAST_DIAL_CLIT_KS
V_BACK_WEAK_PAST	Vact|Tpast|Ppl1	{MB}i{MB}mme	V_BACK_CLIT_OPT
V_BACK_WEAK_PAST	Vact|Tpast|Ppl2	{MB}i{MB}tte	V_BACK_CLIT_OPT
V_BACK_WEAK_PAST	Vact|Tpast|Psg1	{MB}i{MB}n	V_BACK_CLIT_OPT
V_BACK_WEAK_PAST	Vact|Tpast|Psg2	{MB}i{MB}t	V_BACK_CLIT_OPT
V_BACK_WEAK_PRESENT			V_WEAK_PRESENT_DIAL_CLIT_KS
V_BACK_WEAK_PRESENT	Vact|Timp|Psg2		V_BACK_CLIT_S_OPT
V_BACK_WEAK_PRESENT	Vact|Tpres|Ncon		V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_WEAK_PRESENT	Vact|Tpres|Ppl1	{MB}mme	V_BACK_CLIT_OPT
V_BACK_WEAK_PRESENT	Vact|Tpres|Ppl2	{MB}tte	V_BACK_CLIT_OPT
V_BACK_WEAK_PRESENT	Vact|Tpres|Psg1	{MB}n	V_BACK_CLIT_OPT
V_BACK_WEAK_PRESENT	Vact|Tpres|Psg2	{MB}t	V_BACK_CLIT_OPT
V_FRONT_3SG_E_PI	Vact|Tpres|Psg3	{MB}e	V_FRONT_3SG_PI_DIAL	V_FRONT_CLIT_OPT
V_FRONT_3SG_E	Vact|Tpres|Psg3	{MB}e	V_FRONT_3SG_PI_DIAL	V_FRONT_CLIT_OPT
V_FRONT_3SG_E			V_FRONT_3SG_VI_ARCH
V_FRONT_3SG_I	Vact|Tpres|Psg3	{MB}i	V_FRONT_3SG_PI_DIAL	V_FRONT_CLIT_OPT
